Trait,Person1_Mean,Person1_Std,Person2_Mean,Person2_Std
Intelligence,3.1405405405405404,0.5533786832699041,3.2378378378378376,0.6491429765431498
Determination,2.908108108108108,0.8515900659490052,2.8324324324324324,0.8399191388532502
Calmness,2.902702702702703,0.7232499442005742,2.9297297297297296,0.7942951704884891
Politeness,2.7945945945945945,0.9330716996617966,2.881081081081081,0.9594602869859558
Aggression,2.4162162162162164,0.8936714433440556,2.2594594594594595,0.9075347218951778
Sophistication,2.9945945945945946,0.7696505227338801,3.2162162162162162,0.7917761793675441
Incoherence,1.3621621621621622,0.503979463517585,1.2864864864864864,0.465180050556725
Rudeness,2.2324324324324323,1.134932973996333,2.1675675675675676,1.1605035577877705
Stupidity,2.097297297297297,0.5816423927900044,2.091891891891892,0.5077542083284049
Articulation,3.654054054054054,0.4992356084199657,3.7675675675675677,0.43617286539586436
Unsophistication,2.3783783783783785,0.7354143815383557,2.2594594594594595,0.6738353315566459
Laziness,1.7027027027027026,0.6018479181394116,1.7027027027027026,0.6018479181394117
