Trait,SAE_Mean,SAE_Std,AAVE_Mean,AAVE_Std
Intelligence,2.8118811881188117,0.45082282511464783,2.8366336633663365,0.4089113741337673
Determination,3.0495049504950495,0.9344297500009382,3.0792079207920793,0.9052985908767432
Calmness,2.3415841584158414,0.9500738203036672,2.376237623762376,0.8849373606695288
Politeness,2.2475247524752477,1.016343466389599,2.301980198019802,1.0137836324074647
Aggression,2.5346534653465347,1.0276220575905508,2.5297029702970297,1.037413982955182
Sophistication,1.9554455445544554,0.6173245511863777,1.9207920792079207,0.5761973182762039
Incoherence,1.4504950495049505,0.6464789842599679,1.504950495049505,0.6328292685307838
Rudeness,2.737623762376238,1.384157087478018,2.6435643564356437,1.407755055694232
Stupidity,2.198019801980198,0.5904682681781749,2.1732673267326734,0.5414906804706784
Articulation,3.00990099009901,0.35952011976581777,3.0,0.3154401489382559
Unsophistication,3.5346534653465347,0.7799012111907424,3.5742574257425743,0.7510726611703561
Laziness,1.7871287128712872,0.6759792405091523,1.896039603960396,0.7082205002897675
